## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/SRR10054890/align/SRR10054890.sorted.bam --OUTPUT results/SRR10054890/align/SRR10054890.dedup.bam --METRICS_FILE results/SRR10054890/align/SRR10054890.dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 11 01:56:16 IST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR10054890_lib1	826585	467271	54147	34657451	441237	162300	0	0.434856	505682

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	212910	212910
2.0	1.396911	55458	55458
3.0	1.55445	19695	19695
4.0	1.616979	8605	8605
5.0	1.641798	4167	4167
6.0	1.651648	2054	2054
7.0	1.655558	1035	1035
8.0	1.65711	503	503
9.0	1.657726	254	254
10.0	1.657971	137	137
11.0	1.658068	76	76
12.0	1.658106	36	36
13.0	1.658121	16	16
14.0	1.658127	14	14
15.0	1.65813	4	4
16.0	1.658131	3	3
17.0	1.658131	1	1
18.0	1.658131	1	1
19.0	1.658131	1	1
20.0	1.658131	0	0
21.0	1.658131	0	0
22.0	1.658131	1	1
23.0	1.658131	0	0
24.0	1.658131	0	0
25.0	1.658131	0	0
26.0	1.658131	0	0
27.0	1.658131	0	0
28.0	1.658131	0	0
29.0	1.658131	0	0
30.0	1.658131	0	0
31.0	1.658131	0	0
32.0	1.658131	0	0
33.0	1.658131	0	0
34.0	1.658131	0	0
35.0	1.658131	0	0
36.0	1.658131	0	0
37.0	1.658131	0	0
38.0	1.658131	0	0
39.0	1.658131	0	0
40.0	1.658131	0	0
41.0	1.658131	0	0
42.0	1.658131	0	0
43.0	1.658131	0	0
44.0	1.658131	0	0
45.0	1.658131	0	0
46.0	1.658131	0	0
47.0	1.658131	0	0
48.0	1.658131	0	0
49.0	1.658131	0	0
50.0	1.658131	0	0
51.0	1.658131	0	0
52.0	1.658131	0	0
53.0	1.658131	0	0
54.0	1.658131	0	0
55.0	1.658131	0	0
56.0	1.658131	0	0
57.0	1.658131	0	0
58.0	1.658131	0	0
59.0	1.658131	0	0
60.0	1.658131	0	0
61.0	1.658131	0	0
62.0	1.658131	0	0
63.0	1.658131	0	0
64.0	1.658131	0	0
65.0	1.658131	0	0
66.0	1.658131	0	0
67.0	1.658131	0	0
68.0	1.658131	0	0
69.0	1.658131	0	0
70.0	1.658131	0	0
71.0	1.658131	0	0
72.0	1.658131	0	0
73.0	1.658131	0	0
74.0	1.658131	0	0
75.0	1.658131	0	0
76.0	1.658131	0	0
77.0	1.658131	0	0
78.0	1.658131	0	0
79.0	1.658131	0	0
80.0	1.658131	0	0
81.0	1.658131	0	0
82.0	1.658131	0	0
83.0	1.658131	0	0
84.0	1.658131	0	0
85.0	1.658131	0	0
86.0	1.658131	0	0
87.0	1.658131	0	0
88.0	1.658131	0	0
89.0	1.658131	0	0
90.0	1.658131	0	0
91.0	1.658131	0	0
92.0	1.658131	0	0
93.0	1.658131	0	0
94.0	1.658131	0	0
95.0	1.658131	0	0
96.0	1.658131	0	0
97.0	1.658131	0	0
98.0	1.658131	0	0
99.0	1.658131	0	0
100.0	1.658131	0	0

